254.00,20.00,171.00,0.00
228.00,6.00,295.00,10.00
423.00,57.00,302.00,-28.00
574.00,52.00,134.00,27.00
240.00,19.00,35.00,8.00
201.00,-4.00,47.00,-21.00
529.00,16.00,258.00,-19.00
567.00,-44.00,109.00,-28.00
207.00,41.00,176.00,-17.00
378.00,48.00,108.00,-17.00
441.00,-8.00,9.00,-24.00
278.00,23.00,12.00,12.00
439.00,29.00,301.00,-29.00
421.00,-1.00,25.00,30.00
251.00,0.00,319.00,-6.00
292.00,11.00,264.00,6.00
286.00,-30.00,57.00,27.00
375.00,65.00,177.00,2.00
325.00,38.00,154.00,-17.00
208.00,43.00,205.00,-3.00
471.00,-23.00,357.00,25.00
226.00,-1.00,53.00,-17.00
288.00,61.00,322.00,6.00
263.00,45.00,279.00,-23.00
296.00,25.00,208.00,-18.00
379.00,62.00,260.00,-16.00
454.00,51.00,35.00,7.00
481.00,55.00,71.00,-2.00
536.00,-36.00,220.00,24.00
305.00,-39.00,299.00,13.00
289.00,8.00,348.00,10.00
365.00,-9.00,147.00,27.00
397.00,20.00,315.00,-1.00
394.00,57.00,260.00,22.00
312.00,56.00,175.00,-22.00
532.00,48.00,196.00,22.00
377.00,-42.00,109.00,13.00
537.00,47.00,280.00,-7.00
467.00,44.00,115.00,19.00
308.00,23.00,143.00,-17.00
401.00,31.00,53.00,-28.00
375.00,7.00,217.00,-7.00
579.00,27.00,310.00,19.00
305.00,19.00,103.00,15.00
221.00,15.00,206.00,19.00
546.00,-1.00,40.00,-11.00
264.00,57.00,146.00,19.00
562.00,-11.00,229.00,-29.00
342.00,-7.00,266.00,-14.00
585.00,27.00,254.00,8.00
538.00,2.00,72.00,-12.00
556.00,-36.00,152.00,0.00
510.00,-44.00,253.00,5.00
325.00,33.00,9.00,28.00
278.00,50.00,155.00,9.00
497.00,-43.00,238.00,-10.00
343.00,-42.00,156.00,-27.00
378.00,55.00,334.00,-24.00
379.00,48.00,106.00,0.00
540.00,27.00,134.00,-23.00
357.00,7.00,337.00,-28.00
240.00,-41.00,109.00,21.00
311.00,11.00,96.00,-25.00
377.00,-24.00,66.00,-28.00
531.00,-29.00,166.00,23.00
282.00,39.00,340.00,29.00
372.00,-40.00,138.00,-28.00
482.00,26.00,49.00,-28.00
581.00,4.00,82.00,25.00
444.00,52.00,121.00,-7.00
382.00,15.00,31.00,16.00
520.00,-23.00,266.00,29.00
499.00,-8.00,79.00,-29.00
445.00,50.00,201.00,29.00
359.00,-17.00,190.00,-29.00
556.00,-39.00,91.00,29.00
544.00,27.00,296.00,10.00
203.00,-3.00,90.00,-2.00
522.00,64.00,236.00,19.00
324.00,6.00,19.00,1.00
434.00,1.00,142.00,-13.00
311.00,57.00,240.00,0.00
362.00,-31.00,351.00,13.00
462.00,44.00,301.00,13.00
247.00,-22.00,359.00,-5.00
540.00,-17.00,122.00,-12.00
207.00,49.00,15.00,-14.00
527.00,15.00,205.00,-11.00
211.00,-41.00,108.00,-20.00
215.00,24.00,191.00,-28.00
328.00,2.00,342.00,-27.00
597.00,14.00,296.00,2.00
506.00,-33.00,358.00,26.00
200.00,17.00,334.00,9.00
363.00,52.00,112.00,-21.00
243.00,-27.00,217.00,25.00
320.00,5.00,354.00,29.00
282.00,39.00,171.00,22.00
421.00,44.00,294.00,-4.00
234.00,-8.00,82.00,-5.00
541.00,61.00,176.00,15.00
217.00,50.00,2.00,12.00
413.00,14.00,91.00,-29.00
206.00,15.00,117.00,-14.00
337.00,-17.00,238.00,-22.00
238.00,11.00,37.00,-29.00
521.00,-2.00,214.00,-18.00
221.00,-7.00,172.00,15.00
320.00,56.00,160.00,30.00
332.00,-7.00,150.00,-5.00
541.00,16.00,116.00,-11.00
590.00,-27.00,289.00,-9.00
457.00,30.00,199.00,12.00
548.00,65.00,134.00,-19.00
202.00,39.00,338.00,-10.00
322.00,-20.00,2.00,-25.00
386.00,53.00,65.00,19.00
374.00,48.00,251.00,16.00
393.00,-4.00,107.00,9.00
428.00,10.00,164.00,-16.00
497.00,4.00,62.00,17.00
359.00,-45.00,209.00,29.00
246.00,65.00,228.00,2.00
322.00,-25.00,331.00,10.00
371.00,-8.00,319.00,-24.00
290.00,13.00,270.00,24.00
489.00,63.00,251.00,-21.00
260.00,-42.00,354.00,-24.00
446.00,30.00,50.00,-6.00
263.00,39.00,73.00,-28.00
214.00,58.00,9.00,25.00
556.00,-29.00,206.00,-22.00
502.00,-33.00,288.00,29.00
285.00,33.00,348.00,11.00
567.00,14.00,63.00,2.00
407.00,55.00,136.00,14.00
262.00,34.00,115.00,18.00
539.00,-21.00,181.00,11.00
234.00,37.00,204.00,-21.00
449.00,-18.00,34.00,-27.00
537.00,63.00,174.00,12.00
434.00,63.00,291.00,-15.00
565.00,-22.00,185.00,28.00
229.00,56.00,192.00,3.00
405.00,-6.00,283.00,5.00
283.00,54.00,3.00,6.00
245.00,-28.00,1.00,10.00
334.00,33.00,130.00,-8.00
573.00,-5.00,137.00,20.00
286.00,13.00,99.00,15.00
227.00,15.00,300.00,8.00
523.00,61.00,24.00,-25.00
441.00,20.00,262.00,-11.00
545.00,-12.00,279.00,-19.00
308.00,-5.00,168.00,-23.00
267.00,16.00,149.00,22.00
233.00,56.00,104.00,17.00
337.00,-43.00,62.00,-16.00
204.00,-19.00,253.00,-18.00
234.00,-43.00,26.00,-18.00
202.00,15.00,14.00,-30.00
217.00,-43.00,128.00,16.00
271.00,23.00,325.00,-30.00
255.00,10.00,346.00,6.00
530.00,-31.00,19.00,29.00
581.00,-22.00,267.00,8.00
440.00,-11.00,53.00,-1.00
298.00,-10.00,15.00,28.00
225.00,31.00,18.00,11.00
378.00,-43.00,141.00,-29.00
286.00,64.00,138.00,29.00
500.00,8.00,213.00,21.00
584.00,-35.00,117.00,-10.00
347.00,-14.00,78.00,-25.00
441.00,60.00,327.00,1.00
281.00,52.00,40.00,4.00
547.00,-42.00,190.00,-7.00
463.00,-44.00,291.00,5.00
242.00,-14.00,220.00,0.00
562.00,2.00,230.00,1.00
259.00,-41.00,316.00,-30.00
315.00,39.00,313.00,30.00
565.00,55.00,82.00,-9.00
545.00,40.00,349.00,-27.00
466.00,50.00,103.00,-27.00
385.00,54.00,32.44,-30.00
598.00,23.00,350.44,13.00
255.00,-28.00,61.44,22.00
417.00,41.00,42.44,7.00
282.00,30.00,53.44,-26.00
356.00,64.00,73.44,-23.00
205.00,-11.00,348.44,8.00
274.00,4.00,27.44,19.00
544.00,3.00,1.44,-10.00
